source_row,set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link,flag_xsec_systematic_missing,flag_xsec_diff_systematic_missing,xsec_total_err_recomputed,xsec_diff_total_err_recomputed,xsec_systematic_ratio,xsec_diff_systematic_ratio,flag_bad_kinematics,flag_xsec_nonpositive_or_missing,flag_xsec_error_nonpositive_or_missing,flag_xsec_systematic_anomaly,flag_xsec_diff_missing,flag_xsec_diff_error_nonpositive_or_missing,flag_xsec_diff_systematic_anomaly,flag_exact_duplicate,phi_centered_rad,local_xsec_prediction,local_xsec_pull,local_xsec_diff_prediction,local_xsec_diff_pull,local_xsec_multiplicative_ratio,flag_local_xsec_catastrophic_outlier,flag_local_xsec_diff_catastrophic_outlier,exclude_reason,common_valid
30,3,6,5.55,1.52,0.361,-0.298,195.0,0.050283524,0.008382079,-0.006491421,0.006902014,0.0543,0.0082,0.0017376,0.0017376,-0.00521,0.0069,-0.00016672,-0.00016672,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.008382079321982107,0.006902013877007203,0.032,0.024162318840579712,False,False,False,False,False,False,False,False,-2.8797932657906435,0.058330223584707554,-0.4808142979675987,-0.003502404396767977,-0.2474054143705166,1.074221428815977,False,False,,True
31,3,7,5.55,1.52,0.361,-0.298,225.0,0.061683679,0.007155447,-0.012360534,0.005902437,0.0696,0.0068,0.0022272,0.0022272,-0.0053,0.0059,-0.0001696,-0.0001696,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.007155446865151051,0.005902437137318787,0.032,0.02874576271186441,False,False,False,False,False,False,False,False,-2.356194490192345,0.06563968229363827,0.5534689560269863,-0.0032318135365959413,-0.3503953392959884,1.0603341998007438,False,False,,True
32,3,8,5.55,1.52,0.361,-0.298,255.0,0.076013785,0.006785981,0.007496133,0.006100051,0.0705,0.0064,0.002256,0.002256,-0.000777,0.0061,-2.4864e-05,-2.4864e-05,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006785980842884837,0.006100050673436739,0.03200000000000001,0.004076065573770491,False,False,False,False,False,False,False,False,-1.8325957145940461,0.06903824527717825,0.21540802378692325,-0.008063743505648063,1.1945381925069727,1.0211731152342156,False,False,,True
33,3,9,5.55,1.52,0.361,-0.298,285.0,0.081901553,0.006921901,-0.009656898,0.006320771,0.0824,0.0064,0.0026368,0.0026368,-0.016,0.0063,-0.000512,-0.000512,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006921901056790685,0.00632077083906702,0.032,0.032,False,False,False,False,False,False,False,False,-1.3089969389957472,0.07346058424484234,1.29146829488233,-0.014820456171174388,-0.18661392081091796,1.121689962679344,False,False,,True
34,3,10,5.55,1.52,0.361,-0.298,315.0,0.085372904,0.00656158,-0.016601084,0.0065121,0.083,0.006,0.002656,0.002656,-0.0124,0.0065,-0.0003968,-0.0003968,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.006561580297458837,0.006512100294067959,0.032,0.032,False,False,False,False,False,False,False,False,-0.7853981633974483,0.08574408952629509,-0.41820558491950643,-0.012522816757838881,0.01885977676829677,1.0330613195939167,False,False,,True
35,3,11,5.55,1.52,0.361,-0.298,345.0,0.092940143,0.008688934,-0.000978308,0.008011313,0.0898,0.0082,0.0028736,0.0028736,-0.0133,0.008,-0.0004256,-0.0004256,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.00868893416708862,0.008011312961057008,0.032,0.032,False,False,False,False,False,False,False,False,-0.2617993877991494,0.09675209188476708,-0.8001087073601909,-0.00603669495248461,-0.9066310457252532,1.0774175042847112,False,False,,True
36,4,0,5.55,1.74,0.359,-0.183,7.5,0.09603832,0.004512931,0.011145485,0.004202545,0.0962,0.0033,0.0030784,0.0030784,0.00457,0.0042,0.00014624,0.00014624,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.004512931038693146,0.004202545197567778,0.032,0.032,False,False,False,False,False,False,False,False,0.1308996938995747,0.09453243161145436,0.3695089453501883,0.0008820794381268917,0.8775445327768258,1.0176401723738542,False,False,,True
37,4,1,5.55,1.74,0.359,-0.183,22.5,0.078343985,0.004296607,0.011658721,0.004208189,0.0896,0.0032,0.0028672,0.0028672,0.0082,0.0042,0.0002624,0.0002624,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.004296607480326775,0.0042081888930987875,0.032,0.031999999999999994,False,False,False,False,False,False,False,False,0.39269908169872414,0.09144609218007237,-0.4296627486977154,0.0034582332770271606,1.1267951233722167,1.020603707366879,False,False,,True
38,4,2,5.55,1.74,0.359,-0.183,37.5,0.090575124,0.004309444,0.000543953,0.004100391,0.0902,0.0032,0.0028864,0.0028864,0.00177,0.0041,5.664e-05,5.664e-05,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.004309443694956461,0.004100391211774799,0.032,0.013814634146341463,False,False,False,False,False,False,False,False,0.6544984694978736,0.08645027685419444,0.8701176790391835,0.007239208926774583,-1.3338261264118039,1.0433743335736192,False,False,,True
39,4,3,5.55,1.74,0.359,-0.183,52.5,0.085178046,0.004119906,0.001924828,0.004012526,0.0848,0.0031,0.0027136,0.0027136,0.0099,0.004,0.0003168,0.0003168,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.004119905940673889,0.004012525668453723,0.032,0.032,False,False,False,False,False,False,False,False,0.9162978572970231,0.08095361655870144,0.9336095281508813,0.010499863191691166,-0.1494976583968696,1.0475134231774494,False,False,,True
40,4,4,5.55,1.74,0.359,-0.183,67.5,0.072878884,0.003737921,0.009314468,0.003708824,0.0737,0.0029,0.0023584,0.0023584,0.00799,0.0037,0.00025568,0.00025568,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.003737920619809896,0.003708823568518729,0.032,0.031999999999999994,False,False,False,False,False,False,False,False,1.1780972450961724,0.07561059390409419,-0.5111381697001794,0.011196626928910653,-0.8645940874969553,1.0259239335697992,False,False,,True
41,4,5,5.55,1.74,0.359,-0.183,82.5,0.073343695,0.003548086,0.007557684,0.003612625,0.0681,0.0028,0.0021792,0.0021792,0.00943,0.0036,0.00030176,0.00030176,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,False,False,0.003548085771229326,0.0036126249594443096,0.032,0.032,False,False,False,False,False,False,False,False,1.4398966328953218,0.07020727755703587,-0.5939195647758424,0.009167673197652762,0.07261390409802969,1.0309438701473697,False,False,,True
