source_row,set,bin,k,q_squared,x_b,t,phi_deg,phi,unp_beam_unp_target_xsec,unp_beam_unp_target_xsec_err,unp_beam_unp_target_xsec_errstat,unp_beam_unp_target_xsec_errsyst_plus,unp_beam_unp_target_xsec_errsyst_minus,xsec_diff,xsec_diff_err,xsec_diff_errstat,xsec_diff_errsyst_plus,xsec_diff_errsyst_minus,bsa_from_central_values,experiment_year,experiment,link,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS
10,1,10,5.55,1.51,0.359,-0.18,315.0,-0.7853981633974483,0.1045,0.006098551959276891,0.0051,0.003344,0.003344,-0.00348,0.0064009687586802045,0.0064,0.00011136,0.00011136,-0.03330143540669857,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
11,1,11,5.55,1.51,0.359,-0.18,345.0,-0.2617993877991494,0.1072,0.0061463521018568406,0.0051,0.0034304,0.0034304,-0.00633,0.0066031076436477995,0.0066,0.00020256,0.00020256,-0.05904850746268656,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51418,1.35815,2.19029,128.22822,3.21987,1.50386,0,0,0.053978596
12,2,0,5.55,1.51,0.359,-0.237,15.0,0.2617993877991494,0.1055,0.006710989196832311,0.0058,0.003376,0.003376,0.0105,0.006808296115769348,0.0068,0.000336,0.000336,0.09952606635071092,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
13,2,1,5.55,1.51,0.359,-0.237,45.0,0.7853981633974483,0.0967,0.0061372071302832855,0.0053,0.0030944,0.0030944,0.0219,0.006239480798912679,0.0062,0.0007008,0.0007008,0.2264736297828335,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
14,2,2,5.55,1.51,0.359,-0.237,75.0,1.3089969389957472,0.0877,0.005908966149843812,0.0052,0.0028064,0.0028064,0.0134,0.005716106143171241,0.0057,0.0004288,0.0004288,0.15279361459521096,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
15,2,3,5.55,1.51,0.359,-0.237,105.0,1.8325957145940461,0.08,0.005795998619737586,0.0052,0.00256,0.00256,0.0141,0.005319171123398833,0.0053,0.0004512,0.0004512,0.17625,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
16,2,4,5.55,1.51,0.359,-0.237,135.0,2.356194490192345,0.0674,0.005537308573666452,0.0051,0.0021568,0.0021568,0.00121,0.00490015298112212,0.0049,3.872e-05,3.872e-05,0.017952522255192876,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
17,2,5,5.55,1.51,0.359,-0.237,165.0,2.8797932657906435,0.0677,0.006191388290197926,0.0058,0.0021664,0.0021664,0.00108,0.0051001170960675015,0.0051,3.456e-05,3.456e-05,0.015952732644017725,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
18,2,6,5.55,1.51,0.359,-0.237,195.0,-2.8797932657906435,0.0641,0.006152025799685824,0.0058,0.0020512,0.0020512,-0.00179,0.005100321656366391,0.0051,5.728e-05,5.728e-05,-0.027925117004680183,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
19,2,7,5.55,1.51,0.359,-0.237,225.0,-2.356194490192345,0.0775,0.006033274401185479,0.0055,0.00248,0.00248,0.00109,0.0051001192745268225,0.0051,3.488e-05,3.488e-05,0.014064516129032258,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51329,1.16849,2.04475,99.04509,2.9135,1.42779,0,0,0.047664113
