set,n,chi2_per_point,k,q_squared,x_b,t
1,12,0.8306584800646829,5.55,1.51,0.359,-0.18
363,24,0.8292754429851151,8.847,5.379,0.486,-0.654643764
192,15,0.8286213956970708,5.88,1.488,0.185,-0.866
109,24,0.8265591514763142,5.75,2.78,0.335,-0.34
150,20,0.817761868642904,5.7572,2.191,0.342,-0.324
93,15,0.8156137272654846,5.75,2.1,0.304,-0.34
106,4,0.8130286054758901,5.75,2.77,0.333,-0.16
73,20,0.8109609843005741,5.75,2.12,0.245,-0.2
321,15,0.8081304951580645,5.88,3.251,0.4,-1.401
69,19,0.8077169293871012,5.75,1.8,0.244,-0.34
254,15,0.8039868511882401,5.88,2.41,0.275,-0.605
377,24,0.7951258379095769,10.591,8.501,0.613,-1.163107259
77,14,0.794678582071122,5.75,1.94,0.274,-0.11
107,24,0.7869668921198808,5.75,2.78,0.335,-0.2
374,24,0.7865468211074228,10.591,8.44,0.608,-0.791098587
85,23,0.7825142157608767,5.75,2.35,0.275,-0.2
357,24,0.777457044025243,8.851,4.573,0.506,-0.613854842
273,12,0.7757446364860657,5.88,2.6425,0.305,-0.869
344,24,0.7713826636816347,10.591,4.532,0.369,-0.2094225
367,24,0.7686608292401468,10.992,7.106,0.499,-0.697854847
154,24,0.7663377324785169,5.7572,2.318,0.363,-0.232
375,24,0.7619966251320799,10.591,8.453,0.609,-0.91206632
247,13,0.7598819174782678,5.88,1.993,0.275,-1.39
103,15,0.7574934813728048,5.75,2.23,0.335,-0.26
191,14,0.7565679029102029,5.88,1.488,0.185,-0.604
119,7,0.7532533100829274,5.75,2.44,0.393,-0.21
113,13,0.7516762453740718,5.75,2.35,0.365,-0.34
131,15,0.7513343774961377,5.75,3.63,0.451,-0.34
352,24,0.7493218503795017,4.487,2.715,0.485,-0.47977747
124,16,0.7469254933568965,5.75,3.18,0.399,-0.26
87,20,0.7446959821952098,5.75,2.35,0.275,-0.34
71,24,0.7425937182895975,5.75,2.12,0.244,-0.11
25,16,0.7392419185238697,5.75,1.11,0.126,-0.2
63,18,0.7370324713279173,5.75,1.88,0.215,-0.34
193,9,0.7309097673401997,5.88,1.487,0.185,-1.382
41,24,0.7297642762953537,5.75,1.45,0.184,-0.11
55,24,0.7264653687625814,5.75,1.64,0.214,-0.2
144,24,0.7205913294318952,5.7572,2.054,0.392,-0.233
60,20,0.7188461348802146,5.75,1.88,0.215,-0.15
306,12,0.7130297361153263,5.88,3.042,0.365,-0.871
143,24,0.7118522478719345,5.7572,2.012,0.378,-0.192
111,15,0.7112091644117823,5.75,2.35,0.365,-0.2
368,23,0.7102370059953189,10.992,7.102,0.498,-0.855613164
175,14,0.7066351303245862,5.88,1.303,0.155,-1.38
148,24,0.7022562334101222,5.7572,2.161,0.336,-0.171
376,24,0.7019590649923945,10.591,8.481,0.611,-1.037086159
15,24,0.6973814867185526,4.455,1.74,0.357,-0.181
342,24,0.6861471444051498,8.521,3.678,0.37,-0.392515367
17,24,0.6833745044912259,4.455,1.74,0.358,-0.301
140,24,0.6800347699970075,5.7572,1.964,0.375,-0.278
128,10,0.674551937458481,5.75,2.96,0.449,-0.34
122,10,0.6595994444990785,5.75,2.48,0.399,-0.45
369,24,0.6579169381952797,8.521,5.604,0.61,-0.764596036
146,24,0.6561185245500585,5.7572,2.084,0.4,-0.324
129,14,0.6553974770104453,5.75,3.05,0.461,-0.45
65,19,0.6536833201652218,5.75,1.79,0.244,-0.11
4,24,0.6519146583979235,5.55,1.74,0.359,-0.183
127,9,0.6507684582008415,5.75,2.81,0.433,-0.27
153,24,0.6498120750614572,5.7572,2.218,0.345,-0.176
209,13,0.648330571687837,5.88,1.685,0.215,-0.605
162,17,0.6479904654520346,5.88,1.131,0.125,-0.34
96,12,0.6428977785174781,5.75,2.58,0.304,-0.15
91,21,0.6391510350590449,5.75,2.1,0.304,-0.2
