set,experiment,k,q_squared,x_b,t,ReH,ImH,ReH_algorithmic_std,ImH_algorithmic_std,xsec_chi2,diff_chi2,joint_chi2
254,e1-DVCS2 Hall B,5.879999999999999,2.4075333333333333,0.275,-0.6055333333333335,-0.6452316,2.221343,0.11643032,0.041693285,0.9160924074796567,0.18957811612219708,0.5528352618009269
263,e1-DVCS2 Hall B,5.879999999999999,2.1629444444444443,0.3048888888888889,-0.6072222222222223,2.70172,2.4760334,0.0094027035,0.019307222,1.0316930291332216,0.1028905774340244,0.5672918032836229
265,e1-DVCS2 Hall B,5.88,2.1554117647058826,0.3045882352941176,-1.4151764705882353,-1.0132685,0.8214977,0.028452097,0.023509873,1.3694621940221359,0.08440851388003355,0.7269353539510847
268,e1-DVCS2 Hall B,5.88,2.6525,0.3045833333333334,-0.20366666666666666,0.2256636,3.3878047,0.08827396,0.06924219,1.0094690617480386,0.21614536278757276,0.6128072122678057
271,e1-DVCS2 Hall B,5.879999999999999,2.6497,0.30499999999999994,-0.4478,5.076911,3.0188835,0.15159252,0.10771616,0.21655866754331177,0.2736732739417729,0.24511597074254232
281,e1-DVCS2 Hall B,5.879999999999999,2.2957894736842106,0.3347894736842105,-0.6079473684210526,1.4098943,2.5754821,0.03482876,0.04109908,1.1200089980190011,0.08182057422644183,0.6009147861227214
282,e1-DVCS2 Hall B,5.88,2.29625,0.3349375,-0.872125,1.920007,1.5444767,0.034123577,0.06851325,0.6900805451569182,0.02576676383145207,0.3579236544941851
283,e1-DVCS2 Hall B,5.879999999999999,2.2855555555555553,0.33461111111111114,-1.4262777777777778,-0.89477766,0.9463351,0.1181553,0.032546792,1.0640856677192443,0.09207377575118983,0.578079721735217
289,e1-DVCS2 Hall B,5.879999999999999,2.853105263157895,0.335,-0.6061578947368421,4.1061964,2.139864,0.05498183,0.023544302,0.13686538839017484,0.12700112110558542,0.13193325474788015
298,e1-DVCS2 Hall B,5.88,2.4210588235294117,0.3649411764705882,-0.8754117647058822,1.6824498,1.5761423,0.07742211,0.0797159,0.47442953318561887,0.010603878871600579,0.24251670602860972
299,e1-DVCS2 Hall B,5.879999999999999,2.4166666666666665,0.36486666666666673,-1.4036,-0.42003536,1.009408,0.045812346,0.018549398,1.1403302216729223,0.08023923009052966,0.610284725881726
303,e1-DVCS2 Hall B,5.879999999999999,3.0536086956521733,0.36465217391304355,-0.34195652173913044,-0.48250723,4.060749,0.029512636,0.025374215,0.1336144169378003,0.4048045988605894,0.26920950789919484
305,e1-DVCS2 Hall B,5.879999999999999,3.0394499999999995,0.36500000000000005,-0.6067,3.0841777,2.4987717,0.13844919,0.03327456,0.2792954788780183,0.2633375268061674,0.27131650284209285
313,e1-DVCS2 Hall B,5.88,2.5495,0.3995,-0.8785000000000001,0.7340106,1.8807906,0.089198075,0.062163424,1.4328756298649261,0.07865437899421784,0.755765004429572
320,e1-DVCS2 Hall B,5.88,3.25,0.39970588235294124,-0.8732941176470588,1.8081105,1.5831807,0.029283559,0.021150315,0.17236705652544795,0.0684657704319735,0.12041641347871072
321,e1-DVCS2 Hall B,5.879999999999999,3.2431333333333328,0.39926666666666677,-1.4042666666666668,-0.9564197,0.9498799,0.07398749,0.032078598,0.8863853205259224,0.10060367269243156,0.493494496609177
334,E12-06-114 Hall A,7.383,3.167,0.363,-0.210832279,-0.8266276,5.554928,0.013597709,0.0071377335,0.7283637828215866,0.24187279866407996,0.4851182907428333
335,E12-06-114 Hall A,7.383,3.169,0.363,-0.296641104,-1.0929576,4.3698187,0.010620222,0.037957106,0.5847836195027433,0.33952456245246215,0.46215409097760274
336,E12-06-114 Hall A,7.383,3.18,0.365,-0.384877942,-0.52279395,4.061617,0.043805577,0.0064269667,0.3708309037040031,0.38720555056001027,0.3790182271320067
337,E12-06-114 Hall A,7.383,3.1839999999999997,0.365,-0.47089589,0.23750293,4.1131587,0.19567083,0.017466096,0.4229425830728834,0.5293485290960235,0.4761455560844534
339,E12-06-114 Hall A,8.521,3.65,0.367,-0.20459426300000003,-0.8926283,5.1292152,0.012117518,0.03960688,0.18794518298898702,0.24546686043130295,0.21670602171014497
340,E12-06-114 Hall A,8.521,3.653,0.367,-0.265805007,-1.649923,4.4745827,0.036049575,0.01838243,0.2135043487446622,0.11538254966937266,0.16444344920701742
341,E12-06-114 Hall A,8.521,3.669,0.369,-0.330337229,-1.3022915,3.8572457,0.03414571,0.05736991,0.287438763115711,0.1057041714928492,0.1965714673042801
342,E12-06-114 Hall A,8.521,3.6779999999999995,0.36999999999999994,-0.39251536699999995,-1.0553861,3.8345892,0.07337198,0.013554031,0.3006884100820188,0.19379947064940284,0.24724394036571082
343,E12-06-114 Hall A,8.521,3.679,0.36999999999999994,-0.480519034,-0.50569165,4.018886,0.05741115,0.032357275,0.7498145095486425,0.9022171494333139,0.8260158294909782
344,E12-06-114 Hall A,10.591,4.532,0.369,-0.20942249999999998,-1.8250816,4.256547,0.03682052,0.029361486,0.08081628002471747,0.07754355942214691,0.07917991972343219
345,E12-06-114 Hall A,10.591,4.55,0.36999999999999994,-0.27194461,-2.263362,3.9269736,0.017549533,0.03563878,0.19396336553683227,0.11733246940907034,0.1556479174729513
346,E12-06-114 Hall A,10.591,4.574,0.37200000000000005,-0.335577073,-1.8455852,3.4843218,0.03609715,0.03233858,0.2733106207801317,0.1368984302827267,0.2051045255314292
347,E12-06-114 Hall A,10.591,4.585,0.373,-0.398799717,-1.343866,3.4576497,0.034183428,0.0133266905,0.2730540139509143,0.0671915204810684,0.17012276721599134
348,E12-06-114 Hall A,10.591,4.568,0.371,-0.483372835,-0.646175,3.709992,0.046569638,0.03358461,0.4588169110149071,0.1711877169882751,0.3150023140015911
349,E12-06-114 Hall A,4.487,2.7069999999999994,0.48299999999999993,-0.34805523,-1.9996189,5.1199856,0.15522704,0.015914002,0.09338307960870791,0.7634002068135656,0.42839164321113676
350,E12-06-114 Hall A,4.487,2.708,0.48299999999999993,-0.390576327,-2.3707757,4.6804705,0.13084404,0.042098917,0.13428210002118443,0.3641816597615808,0.24923187989138262
351,E12-06-114 Hall A,4.487,2.7129999999999996,0.484,-0.435055174,-2.4249642,4.3416433,0.15202045,0.061493006,0.14548446514482014,0.38198963482531884,0.26373704998506947
352,E12-06-114 Hall A,4.487,2.715,0.48500000000000004,-0.47977747,-2.3676112,4.094202,0.045685895,0.05956834,0.16318016183240336,0.41712855003706384,0.2901543559347336
354,E12-06-114 Hall A,8.851,4.497,0.49700000000000005,-0.40974398900000003,-0.49888402,4.3229656,0.11693641,0.047416262,0.03774293075880646,0.10515317321773114,0.0714480519882688
