set,n,chi2_per_point,pull_rms,median_abs_pull,max_abs_pull
192,15,2.256021248119139,1.5020057417064487,1.4239002995172672,2.5602276311299095
193,9,1.662613394836159,1.2894236677043582,0.73508774056133,2.8251280425264635
194,18,0.9285652778894191,0.9636209202219611,0.7330782384951953,2.0759639612106273
195,18,1.178538837155645,1.0856052860757657,0.6583362862296611,2.9649287633687
196,18,1.1152255701607554,1.0560424092624099,0.6105139088057852,2.2374418001176424
197,17,1.6968314198059646,1.302624819280657,0.8522009398674227,2.5688528478844055
198,18,1.4613188037247005,1.2088501990423381,1.0757142225967584,2.2374791809386556
199,18,1.1355407010684506,1.0656175210029397,0.7376382572498468,2.599438710785908
200,19,1.7997009606129528,1.3415293364712353,1.0070399870834172,2.7823288640983006
201,19,2.3103983394374987,1.519999453762237,1.1105158728037028,3.4360576121138013
202,16,1.3912091977675947,1.1794953148561442,0.8731754413923708,3.0896240467395337
203,23,2.5277631524532898,1.5898940695698218,1.1383948864798377,3.356875509559089
204,24,2.8466325452359045,1.6871966528048543,1.3594175653655598,3.55274559404629
205,22,1.9204965334692365,1.3858198055552664,1.0196210011527642,2.7925957380355304
206,20,1.9551566228639559,1.3982691525110449,1.201320231777226,2.7171509704806867
207,19,1.0230276411472687,1.0114482889141039,0.9024844122979249,1.9811687103883355
208,16,0.8897152892868431,0.9432472047596235,0.705392239238722,1.7626818731399223
209,13,0.9293534184352789,0.964029780886088,0.6761727882852291,1.7325948303557033
210,13,1.7235573739636612,1.3128432404379669,0.37502367682923404,3.1732273326643274
211,17,1.1792494298556022,1.0859325162530138,1.001101433755476,2.035726148611808
212,22,1.8210330041808993,1.3494565588342957,0.6202465505114174,2.7739957150960866
213,20,0.9448886239243561,0.972053817401257,0.614289294790644,2.0145922633415103
214,18,2.104780225798068,1.4507860716859906,0.6960548227786619,3.7466070742294417
215,18,1.3335886447872085,1.1548110861899485,1.116188588200875,1.9575897331001735
216,17,1.1577345482716512,1.075980737872036,0.8825103919944985,1.9037939308919953
217,16,1.0765803508838672,1.0375839006479752,0.7996426964252497,1.7673466775272266
218,18,2.0490159033956905,1.4314384036331045,0.5928138143059838,4.916395766727442
219,18,1.897176175917428,1.3773801856849213,1.037898039442831,2.602784971413873
220,13,2.454235465912284,1.5665999699707274,1.1029616685814727,2.8075198239384833
221,23,9.184280127323886,3.0305577254564686,1.8408032131907202,8.672477774132638
222,22,2.3711349004039364,1.5398489862333697,1.0654998409131766,2.993259724017455
223,23,2.6987721724317835,1.6427940139992547,1.1907317289245984,3.83431342607718
224,24,2.0700386671161275,1.438762894682834,0.9117673490184717,3.8852687798225736
225,19,1.9062136203047435,1.3806569524341459,0.7931085344135835,3.0261812357187634
226,13,1.8188996333957463,1.3486658716656792,1.3238653845093955,2.4111960079137638
227,12,2.292598312745782,1.5141328583535139,0.634549335824369,3.9643046988074238
228,16,3.93958717231763,1.9848393316129218,1.4645916501941016,4.862980727043554
229,17,1.3981933556096904,1.1824522635648724,0.9444234364133833,2.715379068738955
230,22,1.2228395473463587,1.1058207573320185,0.5249040023328823,2.288191215888212
231,24,1.6933196222309614,1.301276151410976,1.0168121939601211,2.709929077435214
232,17,1.7019564157163103,1.304590516490255,1.0477210408855546,2.427072912108866
233,20,2.471984712071359,1.5722546587850708,0.9352460867411929,3.528839917183265
234,20,1.6196214602130208,1.2726434929755548,0.98926985611435,2.396256054710952
235,19,2.070845590420371,1.439043289974409,1.2556892328689193,2.8954062878908275
236,19,2.812142274959251,1.676944326732182,1.1870065920595887,4.437909148279973
237,16,2.499123729993801,1.580861704891924,1.0550645518952075,3.060928132043032
238,13,0.8958814436639714,0.9465101392293541,0.7057517340190621,1.437590332071378
239,17,18.490847747019668,4.300098574104978,1.6903276500323825,12.882745936868345
240,23,2.92403096514191,1.709979814249838,1.2705028978359556,3.4814703266769125
241,23,3.5671866899534166,1.8886997352552937,0.9575767384190177,6.302118627519634
242,19,1.4824675039448985,1.2175662215850513,0.6263402403211342,3.0133245992491036
243,18,3.7761478324586926,1.9432312864038321,1.0984413125935526,4.6689150009892435
244,15,2.3780586627755644,1.5420955426871463,0.4995458886422201,4.517696565552226
245,14,3.959452858933929,1.9898373950988884,0.6674421349787076,5.3512466669908285
246,17,2.253442309130439,1.5011469978421297,0.6032881040954323,3.556382865999624
247,13,0.6840336402999553,0.8270632625742455,0.4390881714684378,1.5206456936636665
248,15,7.85317509210918,2.802351707425244,1.1386525104560028,7.757913988459446
249,24,1.3829189032775016,1.1759757239320467,0.8899470927730384,3.2293421225103582
250,21,6.368459017201489,2.5235805945524086,1.2247377456913673,6.135389581725256
251,22,1.968509602862588,1.4030358523083393,1.0213989179729759,3.7138698624857067
252,20,1.635270369316908,1.2787769036532166,0.9684146685242851,2.936769204762483
253,20,3.554892610574465,1.885442285134834,1.1870388835651373,5.081238026093319
254,15,1.5121397484721275,1.2296909158289036,0.9974124190543978,2.215400969437346
255,13,1.8410359707523374,1.3568478067758143,1.196960566853652,2.1667594695425847
256,16,1.9165470958550879,1.384394125910352,0.987797084665052,3.1866996107136463
257,9,7.953544094161078,2.8202028462791606,2.01280836723773,5.981980865801352
258,17,3.889100287612941,1.9720801929974707,1.2649824109863115,4.080230218888605
259,21,3.863033181276463,1.9654600431645672,0.9997955890710526,5.326131073634937
260,20,4.065787076137669,2.016379695428832,0.597210990118374,5.135231062862114
261,16,1.9159120063914195,1.384164732389689,1.3898710043106033,2.5797672442424044
262,17,2.632733788594221,1.622570118236565,1.4389478068521586,3.437653495709097
263,18,0.9757281885189312,0.9877895466742554,0.5948945040607593,1.8756494089002504
264,16,3.2930148012316662,1.8146665812847456,1.0936700619366695,4.326668540071918
265,17,1.3733172099689936,1.1718861762001433,0.7577551618711607,2.679165716945632
266,11,14.43064847902262,3.798769337433193,2.080209461505949,6.41530195134074
267,20,1.3884568469075844,1.1783279878317345,1.0421116888234485,2.061166377371502
268,24,1.773684669509451,1.3317975332269734,0.8896534909557805,2.9713199648404838
269,23,3.4018011069105905,1.844397220478981,1.2320244869555368,3.6679256926287658
270,19,3.255117936680115,1.804194539588266,1.0084192456883383,3.7281106517792355
271,20,1.7372223145597274,1.318037296346248,0.7822323754289098,3.2731988669226193
272,18,4.049095490976573,2.012236440127395,0.8258506516544677,6.284540193240246
273,12,3.975891531443447,1.9939637738543414,1.4528725914331475,4.357050473903218
274,17,2.4894254581835575,1.5777913227621572,1.205429209146005,2.5958520915001766
275,1,5.046005417546625,2.246331546665947,2.246331546665947,2.246331546665947
276,14,4.222522771562801,2.054877799666637,1.308950008188782,4.376674223032257
277,18,1.7758144851720215,1.3325968952282687,1.132635266242074,2.9621053390359555
278,17,2.4213557656347398,1.5560706171747924,1.184508533001899,3.624628260593586
279,14,2.6035146521043897,1.6135410289498031,1.3858811297464797,2.973458670731793
280,14,1.79049861856284,1.3380951455568622,0.7201379314549332,3.6143598560582344
281,19,1.2938415325491701,1.1374715524131451,0.6705866545253679,3.4803852767831436
282,16,1.0672698093319701,1.033087512910678,0.48478430769239156,2.741130967609063
283,18,1.1670189857659166,1.0802865294753594,0.9773907486214628,1.9586054198641576
284,14,2.310172152631044,1.5199250483596367,0.7867717230377069,2.8053311966871424
285,20,2.039852291496736,1.4282339764536958,0.8477549021661761,4.260312043240101
286,24,3.500357847144875,1.8709243296148765,0.9165530964034648,5.944950023198358
287,22,2.2829725245480357,1.5109508676816847,1.0155805756973353,3.8107870970638538
288,22,2.455893164205695,1.5671289558315533,0.7824888695944194,4.671244454523491
289,19,1.6402094929742645,1.2807066381393768,1.025149078801639,2.7405026151104908
290,12,2.985124788699736,1.7277513677319825,0.9352915722161919,3.7719774325957185
291,14,1.9695447828315147,1.4034047109909225,1.0169654227133123,3.127690758107833
292,9,5.902904864776145,2.4295894436665932,1.293813014969738,5.072055579010933
293,15,1.7479138327948247,1.3220869233128452,1.1877898340911186,2.7441254187076307
294,13,3.0992621815872523,1.7604721473477654,1.3475800605883204,3.8049060039508413
295,14,3.1383067850487527,1.7715266820030549,1.445195622391358,3.0515723353626245
296,15,2.9040445220134044,1.7041257353885024,1.3077764912514798,3.423833556489296
297,20,2.785437007401858,1.66896285381127,1.3015233895681058,3.1153311701803905
298,17,0.96052156990335,0.9800620234981815,0.8431305388780983,1.7674279126143317
299,15,0.9249341098922372,0.9617349478376239,0.8445680441788113,1.4901249974640203
300,8,1.2532220599888337,1.119474010412405,0.6308255314519835,2.3795884954804483
301,13,1.208807907439718,1.0994580062192998,0.9560098581760413,1.999008840199871
302,19,1.4255574859610467,1.193967120971531,0.9758881909317131,2.986481519251218
303,23,0.8669954224705573,0.9311258897005051,0.4826410417293361,2.2855451013672115
304,23,4.014733831654994,2.0036800721809342,1.095189959537326,7.625685771054049
305,20,1.8281269903500792,1.3520824643305154,0.7458669229238635,3.296515834095875
306,12,2.9758064878798582,1.7250526043804746,1.0379330758704737,4.2291329161650095
307,11,1.0682597734029355,1.0335665307095308,0.8083545083858769,2.3322932064277317
308,10,1.0928693903228233,1.0454039364393188,0.7327170660260318,2.0051736315611888
309,13,7.275632279848123,2.6973379988144095,1.121213078540246,6.102338059879823
310,13,1.7454176546734839,1.3211425565295685,1.1987873286601898,2.327973872364118
311,13,2.1174436878436746,1.4551438718709826,1.3171505611598777,2.520232242585649
312,12,1.7875947974910809,1.337009647493645,0.7513481273013123,2.9737663550536397
313,16,1.0147145169696627,1.0073303911674971,0.7274490331022234,1.8201132826805428
314,11,0.45238003537975735,0.6725920274429049,0.5472524172054107,1.4408092575221345
315,8,2.1727261575383543,1.474017013992157,1.1158345163740675,2.4090847944268674
